GPS_time,x,y,depth
236849.174,-91.32319,679.377015,10.2057599
236873.174,-91.33169,681.497483,10.34153
236897.179,-92.595688,684.159131,10.4501461
236909.177,-93.342424,684.416364,10.5044542
236921.174,-94.019804,685.992325,10.550616
236933.178,-94.976322,687.171599,10.5614776
236945.177,-92.701243,686.854454,10.509885
236969.177,-96.753014,687.882339,10.2220523
236981.177,-96.748463,690.030327,10.0618435
236993.178,-95.176257,689.46661,9.94236582
237005.177,-98.381806,688.394174,9.84461132
237029.175,-100.61084,691.79258,9.81202649
237065.173,-100.2321,692.923922,10.1541672
237077.169,-101.97668,694.407313,10.287222
237089.176,-103.38034,694.464789,10.3632532
237101.179,-104.10742,695.131718,10.4175613
237113.174,-103.93582,695.59087,10.4175613
237125.178,-103.19508,695.810578,10.3931227
237149.178,-104.40108,696.448124,10.1976137
237173.226,-106.03469,697.95971,10.0374049
237185.175,-108.23571,697.920082,9.99938927
237209.18,-106.76841,700.326348,10.0319741
237221.178,-108.46128,700.501581,10.0835668
237233.174,-109.93329,701.15382,10.1378748
237245.173,-109.12998,702.434551,10.1405902
237257.174,-109.66278,702.615214,10.1242978
237281.178,-111.72974,703.839351,9.96951984
237293.174,-110.93302,704.481746,9.86361914
237317.171,-112.4833,707.426751,9.68168716
237329.176,-113.22885,706.728131,9.60565588
237341.176,-113.18038,707.092669,9.61108669
237353.174,-114.26782,706.800721,9.63824071
237365.11,-115.93155,707.492065,9.71970279
237377.174,-116.23346,708.584503,9.79301867
237389.119,-117.4646,708.616516,9.88262696
237401.174,-116.93017,708.969536,9.93693501
237425.178,-120.05844,710.395757,9.98581226
237437.175,-119.33616,711.649875,9.95051202
237449.259,-119.11313,712.140231,9.88262696
237461.175,-117.82507,713.986426,9.8283189
237473.205,-119.37395,714.298038,9.77944165
237485.178,-118.75003,713.975672,9.73327981
237497.175,-120.47642,715.312916,9.74414142
237509.175,-121.12806,715.838938,9.74685682
237521.114,-120.81033,715.624287,9.77944165
237533.263,-122.8447,716.27468,9.83646511
237545.18,-122.28863,716.742912,9.86633454
237569.178,-124.39744,717.774651,9.88262696
237581.175,-123.99992,718.648016,9.92064259
237593.178,-123.24031,719.773769,9.98038145
237617.172,-124.91294,720.427063,10.1758904
237677.279,-127.18404,724.26104,10.6673783
237689.175,-127.20402,724.459761,10.7216864
237701.175,-129.14588,726.628609,10.7271172
237713.174,-128.34489,725.772012,10.7135402
237725.281,-127.90285,726.959784,10.6483705
237737.181,-128.29408,725.922654,10.5533314
237761.172,-127.63851,727.898507,10.4284229
237797.175,-130.5084,729.658519,10.4175613
237809.175,-131.67746,730.747269,10.4257075
237821.174,-131.98857,728.866032,10.4257075
237833.101,-131.93504,730.478494,10.4419999
237845.178,-130.87214,731.11038,10.4501461
237881.175,-133.99913,732.912759,10.2899374
237905.257,-134.07412,732.683205,10.1677442
237917.177,-135.07265,734.010785,10.1378748
237929.218,-135.17218,734.694168,10.1541672
237941.175,-136.9676,735.909254,10.2111907
237953.179,-138.06356,736.543629,10.2247677
237965.175,-136.48512,736.077882,10.2247677
237977.178,-136.55356,736.89156,10.2057599
237989.175,-138.54263,736.486793,10.1976137
238013.173,-139.44593,736.702243,10.1677442
238025.173,-139.30907,737.911991,10.1541672
238037.277,-140.12623,738.141498,10.1378748
238049.176,-141.7263,737.133744,10.1270132
238061.108,-141.15224,738.418745,10.1025746
238085.176,-142.89358,739.095686,10.1541672
238097.174,-143.59233,739.614073,10.2301985
238109.176,-144.55892,739.773778,10.3198068
